id	username	mail	password
1	username	mail	password
21	"giulia lanari"	giulia@giulia.com	$2y$10$gI4sIxch..bFmdiRajHeD.Me2tnMWYn1btCZNNnfFU/jQcB/4uyaS
22	alfio	alfio@alfio.com	$2y$10$TLOvY/lmgpffSNCED27d/ug6ti334LRIjnFadj7X/0G3IXDZmUQy6
23	wadabam	cygupu@mailinator.com	$2y$10$1m.0kf/RxAlW39ASDFFKMOd3iqIB5acPimmCGuZN6UYLGra4SjuKK
24	aaa	aaa@aaa.aaa	$2y$10$fGVUG8HlZ2U.oFq6htB2qOU2/damCEasz70n97Wo79ICVu5Gzt3ke
25	username	mail	password
26	username	mail	password
27	username	mail	password
28	username	mail	password
29	"giulia lanari"	giulia@giulia.com	$2y$10$gI4sIxch..bFmdiRajHeD.Me2tnMWYn1btCZNNnfFU/jQcB/4uyaS
30	alfio	alfio@alfio.com	$2y$10$TLOvY/lmgpffSNCED27d/ug6ti334LRIjnFadj7X/0G3IXDZmUQy6
31	wadabam	cygupu@mailinator.com	$2y$10$1m.0kf/RxAlW39ASDFFKMOd3iqIB5acPimmCGuZN6UYLGra4SjuKK
32	aaa	aaa@aaa.aaa	$2y$10$fGVUG8HlZ2U.oFq6htB2qOU2/damCEasz70n97Wo79ICVu5Gzt3ke
33	username	mail	password
34	"giulia lanari"	giulia@giulia.com	$2y$10$gI4sIxch..bFmdiRajHeD.Me2tnMWYn1btCZNNnfFU/jQcB/4uyaS
35	alfio	alfio@alfio.com	$2y$10$TLOvY/lmgpffSNCED27d/ug6ti334LRIjnFadj7X/0G3IXDZmUQy6
36	wadabam	cygupu@mailinator.com	$2y$10$1m.0kf/RxAlW39ASDFFKMOd3iqIB5acPimmCGuZN6UYLGra4SjuKK
37	aaa	aaa@aaa.aaa	$2y$10$fGVUG8HlZ2U.oFq6htB2qOU2/damCEasz70n97Wo79ICVu5Gzt3ke
38	username	mail	password
39	"giulia lanari"	giulia@giulia.com	$2y$10$gI4sIxch..bFmdiRajHeD.Me2tnMWYn1btCZNNnfFU/jQcB/4uyaS
40	alfio	alfio@alfio.com	$2y$10$TLOvY/lmgpffSNCED27d/ug6ti334LRIjnFadj7X/0G3IXDZmUQy6
41	wadabam	cygupu@mailinator.com	$2y$10$1m.0kf/RxAlW39ASDFFKMOd3iqIB5acPimmCGuZN6UYLGra4SjuKK
42	aaa	aaa@aaa.aaa	$2y$10$fGVUG8HlZ2U.oFq6htB2qOU2/damCEasz70n97Wo79ICVu5Gzt3ke
